Database Name	Operetta CLS
Database Link	http://sv-01-366/ODA/OdaService.asmx
Evaluation Signature	c87bb3cb-4285-4183-96ba-56da85797635
Plate Name	11.07.23-OPP incorporation
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - Cells

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Cells - Intensity Cell 5-TAMRA Mean	Cells - Intensity Cell 5-TAMRA Minimum	
2	2	1	0	25	4	38	239	[0,199,115,296]	981,79	-1042,21					525,238	417	
2	2	1	0	25	5	557	420	[467,241,627,584]	1132,46	-1095,73					1113,6	640	
2	2	1	0	25	6	1239	416	[1183,253,1340,538]	1340,51	-1092,55					1442,41	689	
2	2	1	0	25	7	46	652	[0,590,185,733]	984,89	-1167,11					716,182	537	
2	2	1	0	25	8	319	873	[208,694,431,963]	1069,16	-1222,18					1051,54	734	
2	2	1	0	25	9	152	756	[13,703,238,828]	1007,37	-1199,04					1166,79	621	
2	2	1	0	25	10	246	975	[144,890,319,1057]	1040,59	-1263,91					933,765	700	
2	2	1	0	25	11	414	1129	[385,1058,557,1158]	1105,52	-1300,53					1574,81	947	
2	2	1	0	25	12	502	1498	[425,1462,558,1538]	1120	-1418,63					982,19	771	
2	2	1	0	25	13	1209	2023	[1142,1992,1315,2068]	1334,84	-1573,99					940,084	794	
2	2	1	0	4	1	1816	403	[1730,344,1844,444]	211,03	1496,26					691,569	551	
2	2	1	0	4	2	501	462	[428,413,593,505]	-172,91	1475,42					1183,89	736	
2	2	1	0	4	3	401	460	[321,409,468,534]	-205,18	1471,27					1425,47	730	
2	2	1	0	4	4	2125	640	[2049,534,2159,715]	310,51	1425,25					1025,52	411	
2	2	1	0	4	5	1179	680	[1113,645,1238,734]	28,69	1409,52					1569,43	884	
2	2	1	0	4	6	749	1256	[701,1210,805,1296]	-97,22	1239,42					1832,63	937	
2	2	1	0	4	7	350	1387	[284,1356,416,1420]	-216,88	1199,49					945,532	803	
2	2	1	0	4	8	2046	1431	[1969,1357,2127,1476]	283,68	1188,36					766,071	588	
2	2	1	0	4	9	1158	1681	[1069,1593,1255,1760]	27,28	1112,38					1487,24	867	
2	2	1	0	4	10	701	1673	[609,1621,758,1721]	-115,48	1114,34					1467,67	834	
2	2	1	0	4	11	476	1725	[399,1654,660,1788]	-165,32	1100,64					971,146	771	
2	2	1	0	4	12	522	1776	[478,1746,618,1817]	-160,14	1080,9					963,631	819	
2	2	1	0	4	13	512	1822	[478,1798,564,1849]	-166,98	1068,31					954,983	792	
2	2	1	0	4	14	1404	1920	[1260,1841,1600,2001]	101,84	1039,85					1446,68	793	
2	2	1	0	4	15	1266	2008	[1110,1930,1339,2105]	47,27	1009,67					1475,97	819	
2	2	1	0	4	16	2128	2069	[2029,2036,2159,2151]	308,17	988,47					1188,75	659	
